"Home.Style","Repurchase"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","Yes"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","No"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Colonial","Maybe"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","Yes"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","No"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"Cabin","Maybe"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","Yes"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","No"
"A-frame","Maybe"
"A-frame","Maybe"
"A-frame","Maybe"
"A-frame","Maybe"
"A-frame","Maybe"
"A-frame","Maybe"
