session_date,root_symbol,front_month_sym,front_month_id,back_month_sym,back_month_id,close_price,adjusted_close,back_close,spread,is_roll_day,cum_adjustment,gap,days_to_expiry,rc_trade_count,rc_volume,open_price,session_high,session_low,session_trade_count,session_volume,avg_spread_ticks,spread_volatility,overnight_range_pct,overnight_return,open_range_pct,spread_volume,buy_volume,sell_volume,flow_imbalance
2017-06-01,KE,KEN7,624353,KEU7,708395,431.75,278.75,449.75,-18.0,false,-153.0,0.0,43,5366,16353,431.25,435.0,424.25,5366,16353,1.1813732262330023,0.4045172131651274,,,,2235,5980,7955,-0.14172945819878005
2017-06-02,KE,KEN7,624353,KEU7,708395,433.0,280.0,451.5,-18.5,false,-153.0,0.0,42,3759,10948,430.0,438.0,428.75,3759,10948,1.19677734375,0.4417752774168042,,,,1608,4987,4371,0.06582603120324856
2017-06-05,KE,KEN7,624353,KEU7,708395,430.0,277.0,447.5,-17.5,false,-153.0,0.0,39,3935,10982,433.5,435.75,427.25,3935,10982,1.231828919037565,0.5283329998001948,,,,1633,4369,4801,-0.047110141766630316
2017-06-06,KE,KEN7,624353,KEU7,708395,437.75,284.75,455.5,-17.75,false,-153.0,0.0,38,6721,19721,430.5,442.25,430.5,6721,19721,1.133014448121089,0.36082632128569564,,,,3561,8577,7770,0.049366856303908975
2017-06-07,KE,KEN7,624353,KEU7,708395,446.75,293.75,463.5,-16.75,false,-153.0,0.0,37,7415,21875,438.5,450.0,438.25,7415,21875,1.1558691468890314,0.41307791505305774,,,,3314,9604,9051,0.029643527204502813
2017-06-08,KE,KEN7,624353,KEU7,708395,451.5,298.5,469.0,-17.5,false,-153.0,0.0,36,7941,23854,448.0,460.0,447.25,7941,23854,1.1411265492571403,0.39075979140603156,,,,4167,10442,9260,0.059993909247792104
2017-06-09,KE,KEN7,624353,KEU7,708395,451.5,298.5,469.75,-18.25,false,-153.0,0.0,35,7429,19761,453.0,458.5,447.75,7429,19761,1.2000754005655043,0.4611123098902782,,,,3218,8154,7946,0.012919254658385093
2017-06-12,KE,KEN7,624353,KEU7,708395,443.0,290.0,460.5,-17.5,false,-153.0,0.0,32,7045,17686,451.0,451.0,439.5,7045,17686,1.157857292997235,0.39793960690016533,,,,2813,6699,7727,-0.07126022459448218
2017-06-13,KE,KEN7,624353,KEU7,708395,457.0,304.0,474.0,-17.0,false,-153.0,0.0,31,7436,23026,445.25,457.75,445.25,7436,23026,1.139712567591278,0.3713895441312141,,,,3807,10596,8072,0.13520462824083995
2017-06-14,KE,KEN7,624353,KEU7,708395,457.0,304.0,474.25,-17.25,false,-153.0,0.0,30,8917,25400,457.25,468.0,455.0,8917,25400,1.1982239863618438,0.557228014865615,,,,4136,10326,10657,-0.015774674736691606
2017-06-15,KE,KEN7,624353,KEU7,708395,466.0,313.0,484.25,-18.25,false,-153.0,0.0,29,10258,26890,457.5,470.0,450.25,10258,26890,1.2382546129161653,0.5626879346020057,,,,6765,9937,9404,0.0275580373300243
2017-06-16,KE,KEN7,624353,KEU7,708395,473.5,320.5,491.75,-18.25,false,-153.0,0.0,28,8868,24980,466.0,476.5,465.75,8868,24980,1.1975473321858865,0.46020930834162477,,,,4690,10206,9494,0.03614213197969543
2017-06-19,KE,KEN7,624353,KEU7,708395,468.0,315.0,486.25,-18.25,false,-153.0,0.0,25,7561,21750,472.5,481.25,466.5,7561,21750,1.241025641025641,0.5251473933741259,,,,3979,7700,9659,-0.11285212281813468
2017-06-20,KE,KEN7,624353,KEU7,708395,475.25,322.25,493.5,-18.25,false,-153.0,0.0,24,7290,20501,474.0,481.0,466.25,7290,20501,1.224129542344534,0.448725772108133,,,,4585,8561,7660,0.05554528080882806
2017-06-21,KE,KEU7,708395,KEN7,624353,485.25,332.25,467.25,18.0,true,-153.0,10.0,85,5213,11262,493.0,493.0,484.5,5213,11262,1.248311552822315,0.4787846486111818,,,,2512,4527,4232,0.033679643794953765
2017-06-22,KE,KEU7,708395,KEN7,624353,485.5,342.5,468.0,17.5,false,-143.0,0.0,84,5982,15870,485.0,486.5,477.0,5982,15870,1.192471072657146,0.41726665178395134,,,,3090,6495,6211,0.022351644892176923
2017-06-23,KE,KEU7,708395,KEN7,624353,481.25,338.25,463.5,17.75,false,-143.0,0.0,83,5595,14230,485.5,490.0,480.0,5595,14230,1.1832516372427901,0.4736027040715586,,,,2133,6392,5975,0.03371876768820247
2017-06-26,KE,KEU7,708395,KEN7,624353,473.0,330.0,454.75,18.25,false,-143.0,0.0,80,5594,14088,480.25,483.0,471.0,5594,14088,1.2255726111066463,0.536991568798515,,,,1775,5742,6986,-0.09773727215587681
2017-06-27,KE,KEU7,708395,KEZ7,516014,475.0,332.0,501.5,-26.5,false,-143.0,0.0,79,5634,13163,471.5,479.5,471.0,5634,13163,1.2127399001643258,0.49446711373838426,,,,1671,5786,5723,0.005473976887653141
